,title,company,description,location,state,salary,jobtype,skill,degree
666,Data Analyst,,"
            The sr. <b>data</b> analyst will lead projects, make product-related recommendations   BACHELOR  d on <b>data</b> analysis, automate reporting, and help build <b>data</b> pipelines and datasets. Five or more years' industry experience in <b>data</b> analytics required. Fully remote job.
        ","Canada, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, or US National",US National,,100% Remote Job,,BACHELOR
667,Data Scientist,,"
            Full-time position with partial remote work and travel. Will implement models, create processes, analyze performance and develop metrics calculations.   BACHELOR  's degree and 5+ years' related experience required. Flexible schedule.
        ","TX, GA, UT, OR","GA,UT,OR,TX",,Partial Remote Job,,BACHELOR
668,Data Engineer,,"
            Position with the option for remote work for a senior <b>data</b> engineer. Will conceptualize and develop <b>data</b> architecture, pipelines and centralized <b>data</b> warehouse, help build <b>data</b> applications, and provide recommendations. Need eight years of experience.
        ","New York, NY",NY,,Option for Remote Job,,
669,Data Scientist,,"
            Optional remote job for candidate who will apply various <b>data</b> <  BACHELOR  ience</b> methods to understanding the product, partner with key decision makers, and drive general accessibility of <b>data</b> and insights. MS/  PHD   and five years' professional industry exp. req.
        ",US National,US National,,Option for Remote Job,,"PHD,BACHELOR"
670,Data Scientist,,"
            Full-time, remote position. Responsibilities include utilizing <b>data</b> exploration techniques to identify correlations in sleep &amp; wearable <b>data</b>, designing &amp; implementing algorithms, and contributing to product decisions by analyzing <b>data</b> &amp; metrics.
        ",US National,US National,,100% Remote Job,,
671,Data Engineer,,"
            Remote option. Build <b>data</b> infrastructure and systems to support   BACHELOR  ness and large scale <b>data</b> analysis, improve existing modeling, ensure pipelines are efficient, and write and review code. Requires  BACHELOR  and 5+ years' <b>data</b> infrastructure experience.
        ",US National,US National,,Option for Remote Job,,BACHELOR
672,Data Scientist,,"
            The sr. <b>data</b> scientist will provide <b>data</b> support, assess the impact of acquisition initiatives, &amp; recognize growth &amp; optimization opportunities. Must have at least five years' <b>data</b> <  BACHELOR  ience</b> or analytics experience. This is a remote job opportunity.
        ",US National,US National,,100% Remote Job,,BACHELOR
673,Data Scientist,,"
            Remote role for a senior <b>data</b> scientist. Will help develop <b>data</b>-driven segmentation, algorithms, and predictive and descriptive features, create requirements and specification documents, and mentor junior colleagues. Need a MA/MS and three years of exp.
        ",US National,US National,,100% Remote Job,,
674,Data Analyst,,"
            Full-time, remote <b>data</b> analyst will perform <b>data</b> analyses, make suggestions to improve risk metrics, and automate reporting of key performance indicators. Must have three plus years of industry experience in <b>data</b> analytics.
        ","Canada, Belgium, Denmark, Finland, France, Greece, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Spain, Sweden, Switzerland, Turkey, Ukraine, United Kingdom, Argentina, Bolivia, Brazil, Chile, Colombia, Ecuadaor, Guyana, Paraguay, Peru, Suriname, Uruguay, Venezeula, or US National",US National,,100% Remote Job,,
675,Data Analyst,,"
            The <b>data</b> analyst will support the product team, lead <b>data</b>-related activities, and help improve products and analytics practices. Three years' analytics experience is required. The analyst can opt to telecommute or work in the office.
        ","Canada, Mexico, or US National",US National,,Option for Remote Job,,
676,Data Analyst,,"
            Remote role for a principal <b>data</b> analyst. Will define   BACHELOR  ness requirements, develop <b>data</b> models, design, build and test sets of reporting and analytic programs, help collect <b>data</b>, and provide recommendations. Need MASTER  degree and eight years of exp.
        ","Ewing, NJ, New York, NY, Philadelphia, PA, San Francisco, CA, Washington, DC","NJ,PA,CA,NY,DC",,100% Remote Job,,"BACHELOR,MASTER"
677,Data Scientist,,"
            Full-time, remote position. Duties include proactively identifying &amp; championing projects that resolve complex issues, using <b>data</b> to influence product &amp; program decisions, designing &amp; implementing end-to-end <b>data</b> pipelines, and building actionable KPIs.
        ","Canada, or US National",US National,,100% Remote Job,,
678,Data Scientist,,"
            F/T remote senior <b>data</b> scientist needed to help build AI and ML (ML) capabilities that pinpoint regulatory misconduct at financial services organizations. 3+5 years of professional <b>data</b> <  BACHELOR  ience</b> experience &amp; ML techniques/algorithms exp req.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
679,Data Analyst,,"
            Junior <b>Data</b> Analyst is needed for a temporary remote role. He/She will troubleshoot <b>data</b> quality issues and work with <b>data</b> analysts to resolve issues. Must be skilled in SQL. Prior relevant experience is required.
        ",US National,US National,,100% Remote Job,,
680,Data Analyst,,"
            Support a cross-functional team in the development of predictive models to aid in real estate and marketing decisions. Must have a   BACHELOR  's degree and experience working in SAS, SPSS, R, or comparable analytical platform. WFH.
        ","Dallas, TX, Fort Worth, TX",TX,,Option for Remote Job,,BACHELOR
681,Data Engineer,,"
            In need of a <b>data</b> engineering manager who has at least four to eight years' exp. Duties include owning <b>data</b>, managing &amp; coaching a team, providing expertise on <b>data</b> pipelines, &amp; advancing analytics solutions. The staff will telework until further notice.
        ","Irvine, CA",CA,,Remote - During Pandemic Job,,
682,Data Analyst,,"
            Candidate will support the management of a portfolio of 2-5 projects, assist with the development of <b>data</b> capture forms, and support <b>data</b> quality and control activities.   BACHELOR  's degree and two years' clinical research exp. req. Flexible hours.
        ","New York City, NY",NY,,Flexible Schedule Job,,BACHELOR
683,Data Analyst,,"
            Remote position will provide functional representation to study teams, create/maintain clinical study data  BACHELOR  s, execute software development lifecycle practices, train on company processes, and procedures.  BACHELOR  degree required and eight years of exp. 
        ",US National,US National,,Partial Remote Job,,BACHELOR
684,Data Analyst,,"
            Provide support to key research projects, computational support to multidisciplinary research projects, and key inputs for papers and presentations. Must have a   BACHELOR  's degree and 2 years of experience. Full-time, remote position.
        ",US National,US National,,100% Remote Job,,BACHELOR
685,Data Scientist,,"
            Seeking candidate with related MASTER  degree or   PHD   and <b>data</b> scientist experience to help extract insights and unlock value from customer <b>data</b> through the rigorous application of STATISTICSal and ML methods. Remote job during pandemic.
        ","San Francisco, CA",CA,,Remote - During Pandemic Job,ML,"PHD,MASTER"
686,Data Scientist,,"
            Optional remote job for candidate who will partner with other <b>data</b> scientists and engineers to translate <b>data</b> needs into critical information that can be used to implement scalable <b>data</b> platforms. 7 years' analytics exp. req. $116,312/year   BACHELOR  .
        ",US National,US National,,Option for Remote Job,,BACHELOR
687,Data Analyst,,"
            The sr. <b>data</b> analyst will manage the SLA for <b>data</b> sets, help make sure upstream changes integrate with <b>data</b> models, &amp; lead &amp; mentor team members. Requires a relevant degree &amp; four to six years' experience. Employees are teleworking until offices reopen.
        ","New York, NY",NY,,Remote - During Pandemic Job,,
688,Data Engineer,,"
            Remote position for a director of <b>data</b> engineering. Will recruit, lead and mentor a team of <b>data</b> professionals, define and develop a technical roadmap, and establish and oversee   BACHELOR   practices, frameworks and processes. Need a BA/BS and six years' exp.
        ",US National,US National,,100% Remote Job,,BACHELOR
689,Data Analyst,,"
            WFH job for candidate who will collect, cleanse, and automate <b>data</b> flows into a central repository, analyze existing <b>data</b> sets to identify patterns and outliers, and collaborate with leaders to validate <b>data</b> insights. BA/BS degree and 2-4 years' exp. req.
        ",US National,US National,,100% Remote Job,,
690,Data Scientist,,"
            Seeking candidate with   PHD    MASTER 's degree and proven <b>data</b> scientist experience to help extract insights and unlock value from customer <b>data</b> through the rigorous application of STATISTICSal and ML methods. Remote job during pandemic.
        ","Boston, MA",MA,,Remote - During Pandemic Job,ML,"PHD,MASTER"
